ptak,podtrida,rad,krmivy,tazny,kde zije,obrazek,pozn
Emu hnědý,běžci,,,,Austrálie,https://upload.wikimedia.org/wikipedia/commons/c/c4/Emoe.jpg,
Kasuár přilbový,běžci,,,,Austrálie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Casuarius_casuarius_Zoo_Praha_2011-2.jpg/270px-Casuarius_casuarius_Zoo_Praha_2011-2.jpg,
Kivi jižní,běžci,,,,Nový Zéland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Tokoeka.jpg/275px-Tokoeka.jpg,
Nandu pampový,běžci,,,,Jižní Amerika,https://upload.wikimedia.org/wikipedia/commons/a/a1/Greater_Rhea_%28Rhea_americana%29_-Argentina-8.jpg,
Pštros dvouprstý,běžci,,,,Afrika,https://www.zoopraha.cz/images/lexikon/pstros_dvouprsty__TTT5430_-_Tomas_Adamec.jpg,
Káně lesní,letci,dravci,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/f/fa/Buteo_buteo_-Scotland-8.jpg,
Kondor velký,letci,dravci,,,Jižní Amerika,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/AndeanCondorMale2.jpg/280px-AndeanCondorMale2.jpg,asi andský
Krahujec obecný,letci,dravci,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Eurasian_Sparrowhawk_by_Steve_Ward.jpg/270px-Eurasian_Sparrowhawk_by_Steve_Ward.jpg,
Orel skalní,letci,dravci,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/8/84/Aquila_chrysaetos_Flickr.jpg,
Sup bělohlavý,letci,dravci,,,Starý svět,https://upload.wikimedia.org/wikipedia/commons/e/e4/Buitre_Leonado_%2898727731%29.jpeg,
Bažant obecný,letci,hrabaví,Nekrmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg/270px-Phasianus_colchicus_2_tom_%28Lukasz_Lukasik%29.jpg,
Koroptev polní,letci,hrabaví,Nekrmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/d/d7/Perdix_perdix_2_%28Marek_Szczepanek%29.jpg,
Krocan divoký,letci,hrabaví,,,Severní Amerika,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Meleagris_gallopavo_at_Coimbatore.jpg/1200px-Meleagris_gallopavo_at_Coimbatore.jpg,
Křepelka obecná,letci,hrabaví,Nekrmivý,Tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Coturnix_coturnix%2C_Fraunberg%2C_Bayern%2C_Deutschland_1.jpg/270px-Coturnix_coturnix%2C_Fraunberg%2C_Bayern%2C_Deutschland_1.jpg,asi polní (podle wikipedie)
Kur bankivský,letci,hrabaví,,,Asie,https://upload.wikimedia.org/wikipedia/commons/2/24/Gallus_gallus_male_Kaziranga_0.jpg,
Páv korunkatý,letci,hrabaví,,,Asie,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/PeackockSide.jpg/1200px-PeackockSide.jpg,
Tetřev hlušec,letci,hrabaví,,,,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/David_Palmer_Capercaillie.jpg/245px-David_Palmer_Capercaillie.jpg,
† Dronte mauricijský,letci,měkkozubí,,,Mauricius,https://upload.wikimedia.org/wikipedia/commons/5/50/Oxford_Dodo_display.jpg,
Holub skalní,letci,měkkozubí,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Rock_Pigeon_Columba_livia.jpg/258px-Rock_Pigeon_Columba_livia.jpg,
Hrdlička zahradní,letci,měkkozubí,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/7/7b/Collared_Dove.jpg,
Andulka vlnkovaná,letci,papoušci,,,Austrálie,https://tvorove.cz/wp-content/uploads/2021/06/Andulka_vlnkovana_nejoblibenejsi_papousek_mezi_chovateli_1--e1622643475818.jpg,
Ara ararauna,letci,papoušci,,,Jižní Amerika,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/%D0%A1%D0%B8%D0%BD%D0%B5-%D0%B6%D1%91%D0%BB%D1%82%D1%8B%D0%B9_%D0%B0%D1%80%D0%B0_%28Ara_ararauna%29.jpg/800px-%D0%A1%D0%B8%D0%BD%D0%B5-%D0%B6%D1%91%D0%BB%D1%82%D1%8B%D0%B9_%D0%B0%D1%80%D0%B0_%28Ara_ararauna%29.jpg,
Kakadu,letci,papoušci,,,Austrálie,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Cockatoo.1.arp.500pix.jpg/270px-Cockatoo.1.arp.500pix.jpg,na obrázku je kakadu bílý
Papoušek šedý,letci,papoušci,,,Afrika,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Graupapagei3.jpg/258px-Graupapagei3.jpg,
Havran polní,letci,pěvci,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Corvus_frugilegus_2.jpg/1200px-Corvus_frugilegus_2.jpg,
Kos černý,letci,pěvci,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/f/fc/Kos_cerny.jpg,
Krkavec velký,letci,pěvci,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/5/50/Corvus_corax_ad_berlin_090516.jpg,
Pěnkava obecná,letci,pěvci,Krmivý,Částečně tažní,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Fringilla_coelebs_chaffinch_male_edit2.jpg/1200px-Fringilla_coelebs_chaffinch_male_edit2.jpg,
Rehek domácí,letci,pěvci,Krmivý,Tažní,,https://upload.wikimedia.org/wikipedia/commons/2/2e/PhoenicurusOchrurosGuntherHasler01.jpg,Má hodně různých obrázků
Sojka obecná,letci,pěvci,,,,https://upload.wikimedia.org/wikipedia/commons/6/6d/Garrulus_glandarius_1_Luc_Viatour.jpg,
Stehlík obecný,letci,pěvci,,,,https://upload.wikimedia.org/wikipedia/commons/f/fd/European_Goldfinch_on_Spear_Thistle.jpg,
Straka obecná,letci,pěvci,Krmivý,Stálý,,https://upload.wikimedia.org/wikipedia/commons/9/97/2013.03.24.-2-Mannheim_Vogelstang-Elster.jpg,
